,cod_cidades,city,uf,atendido_loggi,distancia_cajamar,populacao,area_em_km2,tem_malha,latitude,longitude,idh_renda,indice_roubo,quantidade_decolagens,latitude_airport,longitude_airport,caminhao,caminhonete,camioneta,motocicleta,preco_gasolina,preco_diesel_s10,area_urbana,pib,distance_airport,viabilidade_terrestre,viabilidade_aerea,custo_indireto,custo_direto,lucro,score
16,3510609,CARAPICUIBA,SP,não,29,396545,34.967,0,-23.5235,-46.8407,0.721,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3986.0,10849.0,7499.0,34843.0,4.393466666666667,3.5988974358974364,25.8,4719835.0,38.7996184271159,0.21436030427289893,1.0,0.4748705035815566,0.02000978905134945,0.2829678510365143,0.13631250087080884
317,4101804,ARAUCARIA,PR,não,437,137490,469.166,0,-25.5859,-49.4047,0.743,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,3074.0,6405.0,2654.0,10735.0,4.402125,3.4268571428571426,19.6,8558227.0,23.86490753958634,0.10570133991939697,0.2698110547033839,0.31048051412157146,0.071851700036594,0.3062147465698599,0.13116980633470265
82,3503901,ARUJA,SP,não,43,86456,97.448,0,-23.3965,-46.32,0.7609999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3030.0,4793.0,2738.0,6091.0,4.393466666666667,3.5988974358974364,27.2,3759210.0,16.230271258282745,0.09126879347647845,1.0,0.4748705035815566,0.011721175330253344,0.29216393978829336,0.1293560190355645
71,3539806,POA,SP,não,49,115484,17.179,0,-23.5333,-46.3473,0.71,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,1009.0,3113.0,2532.0,6598.0,4.499,3.499,15.7,3940620.0,16.79927089655072,0.05740587494979437,1.0,0.4595867264093636,0.012843512606361721,0.26449201387390414,0.12875284708261028
53,3504107,ATIBAIA,SP,não,66,139686,478.101,0,-23.1171,-46.5563,0.7859999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2617.0,8726.0,4671.0,21922.0,4.393466666666667,3.5988974358974364,13.3,5420788.0,36.282151378885914,0.14471238925156787,1.0,0.4748705035815566,0.024180263701325092,0.295952643880805,0.12623951646313525
35,3524402,JACAREI,SP,não,82,229842,460.073,0,-23.2983,-45.9658,0.7490000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2788.0,8120.0,5159.0,21316.0,4.393466666666667,3.5988974358974364,28.6,9414193.0,54.04536991600987,0.14707584017631506,1.0,0.4748705035815566,0.034588332113368175,0.3223471876051243,0.12542405599331602
311,4104808,CASCAVEL,PR,não,923,319641,2100.105,1,-24.9573,-53.458999999999996,0.7759999999999999,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,8402.0,21057.0,8334.0,34020.0,4.402125,3.4268571428571426,55.8,9203923.0,0.0,0.3240440726940938,0.2698110547033839,0.31048051412157146,0.13083171590827403,0.3578560212603515,0.12301564652089919
519,4216602,SAO JOSE,SC,não,692,239719,113.171,0,-27.6136,-48.6366,0.799,0.44154354715814353,1732701.0,-27.670278549194336,-48.5525016784668,3570.0,10481.0,6824.0,30526.0,4.253933333333334,3.4907222222222227,32.2,7984979.0,10.407952387336046,0.19554764672868855,0.13849427848216947,0.2939534277386618,0.1023711276491346,0.33440494702211615,0.12082346485157297
33,3501608,AMERICANA,SP,não,125,233882,133.63,0,-22.7374,-47.3331,0.8,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3485.0,14258.0,7491.0,27048.0,4.393466666666667,3.5988974358974364,50.7,10727869.0,117.22851561629714,0.21362946649931852,1.0,0.4748705035815566,0.06960940349175136,0.36948460566187585,0.11688412488324636
36,3522505,ITAPEVI,SP,não,42,229555,91.353,0,-23.5488,-46.9327,0.687,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2099.0,5507.0,3525.0,18619.0,4.393466666666667,3.5988974358974364,20.5,8867669.0,48.597429198619295,0.10817326456019473,1.0,0.4748705035815566,0.026350864029077506,0.2902579343786029,0.11659489910590615
45,3507605,BRAGANCA PAULISTA,SP,não,87,164182,513.589,0,-22.9527,-46.5419,0.772,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3026.0,9530.0,4357.0,28001.0,4.393466666666667,3.5988974358974364,15.7,4840392.0,53.93721220701133,0.1597625579519046,1.0,0.4748705035815566,0.0352578208781352,0.2903705531434033,0.11546575283328507
41,3515707,FERRAZ DE VASCONCELOS,SP,não,51,188891,30.071,0,-23.5411,-46.371,0.691,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2103.0,4077.0,3331.0,8758.0,4.393466666666667,3.5988974358974364,15.8,2747746.0,15.662584527501918,0.08533111453964898,1.0,0.4748705035815566,0.012612232938650427,0.2513509698743626,0.11328977011676722
77,3528502,MAIRIPORA,SP,não,59,95644,321.48,0,-23.3171,-46.5897,0.767,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2124.0,4347.0,2195.0,8023.0,4.393466666666667,3.5988974358974364,7.4,1500945.0,17.7289686960561,0.07624690742618485,1.0,0.4748705035815566,0.014705569123790757,0.26089959586199635,0.11317582196027909
57,3556206,VALINHOS,SP,não,96,124066,148.528,0,-22.9698,-46.9974,0.848,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2238.0,7838.0,4310.0,12591.0,4.393466666666667,3.5988974358974364,28.3,5338650.0,74.44282225719863,0.11921345441183856,1.0,0.4748705035815566,0.045911211224588355,0.3314340512368071,0.1131022212885133
56,3513504,CUBATAO,SP,não,64,128741,142.281,0,-23.8911,-46.424,0.716,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2821.0,2425.0,1979.0,9971.0,4.393466666666667,3.5988974358974364,22.946363636363618,9304123.0,50.700588856359225,0.07631118173521886,1.0,0.4748705035815566,0.0304737814140814,0.304946478120546,0.11283365960683597
22,3541000,PRAIA GRANDE,SP,não,75,310168,149.079,0,-24.0084,-46.4121,0.7440000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2418.0,7208.0,5465.0,31901.0,4.393466666666667,3.5988974358974364,21.7,5512844.0,63.74859616666727,0.15597709960348485,1.0,0.4748705035815566,0.03801081320601211,0.29104856359057263,0.11238224540965444
21,3518701,GUARUJA,SP,não,96,315546,142.589,0,-23.9888,-46.258,0.7290000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2190.0,5867.0,5197.0,38403.0,4.393466666666667,3.5988974358974364,25.6,7456001.0,65.08037971559682,0.15375707910587472,1.0,0.4748705035815566,0.041637877467095664,0.3012797132158778,0.1120030804427862
19,3551009,SAO VICENTE,SP,não,70,360360,148.424,0,-23.9574,-46.3883,0.738,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2142.0,4798.0,4889.0,40700.0,4.393466666666667,3.5988974358974364,20.0,4940871.0,58.43904798024833,0.14865009524650258,1.0,0.4748705035815566,0.03486850120220456,0.2840025204499223,0.11195939166068705
89,3509205,CAJAMAR,SP,não,46,73942,128.356,0,-23.355,-46.8781,0.713,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,1665.0,3295.0,1740.0,5585.0,4.393466666666667,3.5988974358974364,7.4,9911054.0,42.35442585437068,0.05813303185899298,1.0,0.4748705035815566,0.024076431734364218,0.2916146222063762,0.11183813723515983
59,3543303,RIBEIRAO PIRES,SP,não,49,121837,99.175,0,-23.7067,-46.4058,0.7490000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2876.0,4330.0,3192.0,6570.0,4.393466666666667,3.5988974358974364,7.2,2606481.0,30.804631386643393,0.09165314185149018,1.0,0.4748705035815566,0.019236030317656295,0.261099469868404,0.11102625183245206
76,3509007,CAIEIRAS,SP,não,40,98243,95.894,0,-23.3607,-46.7397,0.74,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,1120.0,3254.0,1958.0,5751.0,4.393466666666667,3.5988974358974364,9.9,3801890.0,28.48902190473139,0.05337424110926419,1.0,0.4748705035815566,0.016885168198406863,0.2677760947395126,0.10997209754525557
116,3527306,LOUVEIRA,SP,não,71,45959,55.349,0,-23.0856,-46.9484,0.7829999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,1020.0,2434.0,1064.0,6539.0,4.393466666666667,3.5988974358974364,22.946363636363618,9244651.0,62.19217127065396,0.04172102826284833,1.0,0.4748705035815566,0.03672532405499648,0.3269353236420385,0.10908968987758767
88,3556701,VINHEDO,SP,não,79,75164,81.742,0,-23.0302,-46.9833,0.84,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,1520.0,5234.0,2787.0,8788.0,4.393466666666667,3.5988974358974364,10.1,7306490.0,68.86466250605085,0.07934203557671383,1.0,0.4748705035815566,0.04092104246912264,0.32161347629755016,0.1086744759899704
321,4104204,CAMPO LARGO,PR,não,458,127333,1249.422,0,-25.4525,-49.528999999999996,0.73,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,2627.0,6681.0,2541.0,11910.0,4.402125,3.4268571428571426,13.4,3757564.0,36.49703452830354,0.10234974729804468,0.2698110547033839,0.31048051412157146,0.08063662122207838,0.26775379381623565,0.10842081279224694
323,4100400,ALMIRANTE TAMANDARE,PR,não,416,115376,195.145,0,-25.3188,-49.3037,0.706,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,1706.0,3577.0,1558.0,9546.0,4.402125,3.4268571428571426,15.9,1269345.0,26.55570447929788,0.06419806492681904,0.2698110547033839,0.31048051412157146,0.07006067684256732,0.24788936205568812,0.1063214536998825
27,3552403,SUMARE,SP,não,119,273066,153.033,0,-22.8204,-47.2728,0.7440000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,2943.0,10655.0,4789.0,26260.0,4.393466666666667,3.5988974358974364,35.9,11969866.0,106.54093593023757,0.16539902828406425,1.0,0.4748705035815566,0.06386860586152239,0.3429254820628705,0.10609466352153536
44,3523909,ITU,SP,não,101,170161,639.981,0,-23.2544,-47.2927,0.782,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,3270.0,8824.0,4605.0,23246.0,4.393466666666667,3.5988974358974364,17.1,7551445.0,86.18441055884288,0.15450341383392935,1.0,0.4748705035815566,0.05198932273069512,0.3108346053066055,0.10510779762014967
325,4119509,PIRAQUARA,PR,não,399,107785,227.56,0,-25.4422,-49.0624,0.6890000000000001,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,692.0,2272.0,1391.0,8315.0,4.402125,3.4268571428571426,6.3,1097829.0,14.879971435362025,0.04226037059618967,0.2698110547033839,0.31048051412157146,0.06228737049506048,0.23144326704692134,0.10504797264472657
